generation: 7100, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 7200, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 7300, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 7400, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 7500, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 7600, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 7700, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 7800, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 7900, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 8000, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 8100, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 8200, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 8300, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 8400, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 8500, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 8600, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 8700, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 8800, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 8900, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 9000, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 9100, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 9200, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
